# 杀戮尖塔2 卡牌类名 -> 卡图文件名 参考清单
# 由 v0.107.1 游戏日志的“发现模式”导出（共 577 张）。
# 用法：文件名用右边那个（小写），放进 image/cards/ 下的根目录或 defect/regent/colorless/curse 子目录。
# 注意：卡池随游戏版本可能增删，以你自己游戏里的发现模式日志为准。
#
# 类名(ClassName)                  文件名(filename)
DemonicShield                    demonicshield.png
DeprecatedCard                   deprecatedcard.png
Devastate                        devastate.png
DevourLife                       devourlife.png
Dirge                            dirge.png
Discovery                        discovery.png
Disintegration                   disintegration.png
Dismantle                        dismantle.png
Distraction                      distraction.png
DodgeAndRoll                     dodgeandroll.png
Dominate                         dominate.png
DoubleEnergy                     doubleenergy.png
Doubt                            doubt.png
DrainPower                       drainpower.png
DramaticEntrance                 dramaticentrance.png
Dredge                           dredge.png
DrumOfBattle                     drumofbattle.png
DualWield                        dualwield.png
Dualcast                         dualcast.png
DyingStar                        dyingstar.png
EchoForm                         echoform.png
EchoingSlash                     echoingslash.png
Eidolon                          eidolon.png
EndOfDays                        endofdays.png
EnergySurge                      energysurge.png
EnfeeblingTouch                  enfeeblingtouch.png
Enlightenment                    enlightenment.png
Enthralled                       enthralled.png
Entrench                         entrench.png
Entropy                          entropy.png
Envenom                          envenom.png
Equilibrium                      equilibrium.png
Eradicate                        eradicate.png
EscapePlan                       escapeplan.png
EternalArmor                     eternalarmor.png
EvilEye                          evileye.png
ExpectAFight                     expectafight.png
Expertise                        expertise.png
Expose                           expose.png
Exterminate                      exterminate.png
FallingStar                      fallingstar.png
FanOfKnives                      fanofknives.png
Fasten                           fasten.png
Fear                             fear.png
Feed                             feed.png
FeedingFrenzy                    feedingfrenzy.png
FeelNoPain                       feelnopain.png
Feral                            feral.png
Fetch                            fetch.png
FiendFire                        fiendfire.png
FightMe                          fightme.png
FightThrough                     fightthrough.png
Finesse                          finesse.png
Finisher                         finisher.png
Fisticuffs                       fisticuffs.png
FlakCannon                       flakcannon.png
FlameBarrier                     flamebarrier.png
Flanking                         flanking.png
FlashOfSteel                     flashofsteel.png
Flatten                          flatten.png
Flechettes                       flechettes.png
FlickFlack                       flickflack.png
FocusedStrike                    focusedstrike.png
Folly                            folly.png
Footwork                         footwork.png
ForbiddenGrimoire                forbiddengrimoire.png
ForegoneConclusion               foregoneconclusion.png
ForgottenRitual                  forgottenritual.png
FranticEscape                    franticescape.png
Friendship                       friendship.png
Ftl                              ftl.png
Fuel                             fuel.png
Furnace                          furnace.png
Fusion                           fusion.png
GammaBlast                       gammablast.png
GangUp                           gangup.png
GatherLight                      gatherlight.png
Genesis                          genesis.png
GeneticAlgorithm                 geneticalgorithm.png
GiantRock                        giantrock.png
Glacier                          glacier.png
Glasswork                        glasswork.png
Glimmer                          glimmer.png
GlimpseBeyond                    glimpsebeyond.png
Glitterstream                    glitterstream.png
Glow                             glow.png
GoForTheEyes                     gofortheeyes.png
GoldAxe                          goldaxe.png
GrandFinale                      grandfinale.png
GraveWarden                      gravewarden.png
Graveblast                       graveblast.png
Greed                            greed.png
Guards                           guards.png
GuidingStar                      guidingstar.png
Guilty                           guilty.png
GunkUp                           gunkup.png
Hailstorm                        hailstorm.png
HammerTime                       hammertime.png
HandOfGreed                      handofgreed.png
HandTrick                        handtrick.png
Hang                             hang.png
Haunt                            haunt.png
Havoc                            havoc.png
Haze                             haze.png
Headbutt                         headbutt.png
HeavenlyDrill                    heavenlydrill.png
Hegemony                         hegemony.png
HeirloomHammer                   heirloomhammer.png
HelixDrill                       helixdrill.png
HelloWorld                       helloworld.png
Hellraiser                       hellraiser.png
Hemokinesis                      hemokinesis.png
HiddenCache                      hiddencache.png
HiddenDaggers                    hiddendaggers.png
HiddenGem                        hiddengem.png
HighFive                         highfive.png
Hologram                         hologram.png
Hotfix                           hotfix.png
HowlFromBeyond                   howlfrombeyond.png
HuddleUp                         huddleup.png
Hyperbeam                        hyperbeam.png
IAmInvincible                    iaminvincible.png
IceLance                         icelance.png
Ignition                         ignition.png
Impatience                       impatience.png
Impervious                       impervious.png
Infection                        infection.png
InfernalBlade                    infernalblade.png
Inferno                          inferno.png
InfiniteBlades                   infiniteblades.png
Inflame                          inflame.png
Injury                           injury.png
Intercept                        intercept.png
Invoke                           invoke.png
IronWave                         ironwave.png
Iteration                        iteration.png
JackOfAllTrades                  jackofalltrades.png
Jackpot                          jackpot.png
Juggernaut                       juggernaut.png
Juggling                         juggling.png
KinglyKick                       kinglykick.png
KinglyPunch                      kinglypunch.png
KnifeTrap                        knifetrap.png
Knockdown                        knockdown.png
KnockoutBlow                     knockoutblow.png
KnowThyPlace                     knowthyplace.png
LanternKey                       lanternkey.png
Largesse                         largesse.png
LeadingStrike                    leadingstrike.png
Leap                             leap.png
LegSweep                         legsweep.png
LegionOfBone                     legionofbone.png
Lethality                        lethality.png
Lift                             lift.png
LightningRod                     lightningrod.png
Loop                             loop.png
Luminesce                        luminesce.png
LunarBlast                       lunarblast.png
MachineLearning                  machinelearning.png
MakeItSo                         makeitso.png
Malaise                          malaise.png
Mangle                           mangle.png
ManifestAuthority                manifestauthority.png
MasterOfStrategy                 masterofstrategy.png
MasterPlanner                    masterplanner.png
Maul                             maul.png
Mayhem                           mayhem.png
Melancholy                       melancholy.png
MementoMori                      mementomori.png
Metamorphosis                    metamorphosis.png
MeteorShower                     meteorshower.png
MeteorStrike                     meteorstrike.png
Mimic                            mimic.png
MindBlast                        mindblast.png
MindRot                          mindrot.png
MinionDiveBomb                   miniondivebomb.png
MinionSacrifice                  minionsacrifice.png
MinionStrike                     minionstrike.png
Mirage                           mirage.png
Misery                           misery.png
Modded                           modded.png
MoltenFist                       moltenfist.png
MomentumStrike                   momentumstrike.png
MonarchsGaze                     monarchsgaze.png
Monologue                        monologue.png
MultiCast                        multicast.png
Murder                           murder.png
NecroMastery                     necromastery.png
NegativePulse                    negativepulse.png
NeowsFury                        neowsfury.png
Neurosurge                       neurosurge.png
Neutralize                       neutralize.png
NeutronAegis                     neutronaegis.png
Nightmare                        nightmare.png
NoEscape                         noescape.png
Normality                        normality.png
Nostalgia                        nostalgia.png
NotYet                           notyet.png
NoxiousFumes                     noxiousfumes.png
Null                             null.png
Oblivion                         oblivion.png
Offering                         offering.png
Omnislice                        omnislice.png
OneTwoPunch                      onetwopunch.png
Orbit                            orbit.png
Outbreak                         outbreak.png
Outmaneuver                      outmaneuver.png
Overclock                        overclock.png
PactsEnd                         pactsend.png
Pagestorm                        pagestorm.png
PaleBlueDot                      palebluedot.png
Panache                          panache.png
PanicButton                      panicbutton.png
Parry                            parry.png
Parse                            parse.png
ParticleWall                     particlewall.png
Patter                           patter.png
Peck                             peck.png
PerfectedStrike                  perfectedstrike.png
PhantomBlades                    phantomblades.png
PhotonCut                        photoncut.png
PiercingWail                     piercingwail.png
Pillage                          pillage.png
PillarOfCreation                 pillarofcreation.png
Pinpoint                         pinpoint.png
PoisonedStab                     poisonedstab.png
Poke                             poke.png
PommelStrike                     pommelstrike.png
PoorSleep                        poorsleep.png
Pounce                           pounce.png
PreciseCut                       precisecut.png
Predator                         predator.png
PrepTime                         preptime.png
Prepared                         prepared.png
PrimalForce                      primalforce.png
Production                       production.png
Prolong                          prolong.png
Prophesize                       prophesize.png
Protector                        protector.png
Prowess                          prowess.png
PullAggro                        pullaggro.png
PullFromBelow                    pullfrombelow.png
Purity                           purity.png
Putrefy                          putrefy.png
Pyre                             pyre.png
Quadcast                         quadcast.png
Quasar                           quasar.png
Radiate                          radiate.png
Rage                             rage.png
Rainbow                          rainbow.png
Rally                            rally.png
Rampage                          rampage.png
Rattle                           rattle.png
Reanimate                        reanimate.png
Reap                             reap.png
ReaperForm                       reaperform.png
Reave                            reave.png
Reboot                           reboot.png
Rebound                          rebound.png
RefineBlade                      refineblade.png
Reflect                          reflect.png
Reflex                           reflex.png
Refract                          refract.png
Regret                           regret.png
Relax                            relax.png
Rend                             rend.png
Resonance                        resonance.png
Restlessness                     restlessness.png
Ricochet                         ricochet.png
RightHandHand                    righthandhand.png
RipAndTear                       ripandtear.png
RocketPunch                      rocketpunch.png
RollingBoulder                   rollingboulder.png
RoyalGamble                      royalgamble.png
Royalties                        royalties.png
Rupture                          rupture.png
Sacrifice                        sacrifice.png
Salvo                            salvo.png
Scare                            scare.png
Scavenge                         scavenge.png
Scourge                          scourge.png
Scrape                           scrape.png
Scrawl                           scrawl.png
SculptingStrike                  sculptingstrike.png
Seance                           seance.png
SecondWind                       secondwind.png
SecretTechnique                  secrettechnique.png
SecretWeapon                     secretweapon.png
SeekerStrike                     seekerstrike.png
SeekingEdge                      seekingedge.png
SentryMode                       sentrymode.png
SerpentForm                      serpentform.png
SetupStrike                      setupstrike.png
SevenStars                       sevenstars.png
Severance                        severance.png
ShadowShield                     shadowshield.png
ShadowStep                       shadowstep.png
Shadowmeld                       shadowmeld.png
Shame                            shame.png
SharedFate                       sharedfate.png
Shatter                          shatter.png
ShiningStrike                    shiningstrike.png
Shiv                             shiv.png
Shockwave                        shockwave.png
Shroud                           shroud.png
ShrugItOff                       shrugitoff.png
SicEm                            sicem.png
SignalBoost                      signalboost.png
Skewer                           skewer.png
Skim                             skim.png
SleightOfFlesh                   sleightofflesh.png
Slice                            slice.png
Slimed                           slimed.png
Sloth                            sloth.png
Smokestack                       smokestack.png
Snakebite                        snakebite.png
Snap                             snap.png
Sneaky                           sneaky.png
SolarStrike                      solarstrike.png
Soot                             soot.png
Soul                             soul.png
SoulStorm                        soulstorm.png
SovereignBlade                   sovereignblade.png
Sow                              sow.png
SpectrumShift                    spectrumshift.png
Speedster                        speedster.png
Spinner                          spinner.png
SpiritOfAsh                      spiritofash.png
Spite                            spite.png
Splash                           splash.png
SpoilsMap                        spoilsmap.png
SpoilsOfBattle                   spoilsofbattle.png
SporeMind                        sporemind.png
Spur                             spur.png
Squash                           squash.png
Squeeze                          squeeze.png
Stack                            stack.png
Stampede                         stampede.png
Stardust                         stardust.png
Stoke                            stoke.png
Stomp                            stomp.png
StoneArmor                       stonearmor.png
Storm                            storm.png
StormOfSteel                     stormofsteel.png
Strangle                         strangle.png
Stratagem                        stratagem.png
StrikeDefect                     strikedefect.png
StrikeIronclad                   strikeironclad.png
StrikeNecrobinder                strikenecrobinder.png
StrikeRegent                     strikeregent.png
StrikeSilent                     strikesilent.png
Subroutine                       subroutine.png
SuckerPunch                      suckerpunch.png
SummonForth                      summonforth.png
Sunder                           sunder.png
Supercritical                    supercritical.png
Supermassive                     supermassive.png
Suppress                         suppress.png
Survivor                         survivor.png
SweepingBeam                     sweepingbeam.png
SweepingGaze                     sweepinggaze.png
SwordBoomerang                   swordboomerang.png
SwordSage                        swordsage.png
Synchronize                      synchronize.png
Synthesis                        synthesis.png
Tactician                        tactician.png
TagTeam                          tagteam.png
Tank                             tank.png
Taunt                            taunt.png
TearAsunder                      tearasunder.png
Tempest                          tempest.png
Terraforming                     terraforming.png
TeslaCoil                        teslacoil.png
TheBomb                          thebomb.png
TheGambit                        thegambit.png
TheHunt                          thehunt.png
TheScythe                        thescythe.png
TheSealedThrone                  thesealedthrone.png
TheSmith                         thesmith.png
ThinkingAhead                    thinkingahead.png
Thrash                           thrash.png
ThrummingHatchet                 thrumminghatchet.png
Thunder                          thunder.png
Thunderclap                      thunderclap.png
TimesUp                          timesup.png
ToolsOfTheTrade                  toolsofthetrade.png
ToricToughness                   torictoughness.png
Toxic                            toxic.png
Tracking                         tracking.png
Transfigure                      transfigure.png
TrashToTreasure                  trashtotreasure.png
Tremble                          tremble.png
TrueGrit                         truegrit.png
Turbo                            turbo.png
TwinStrike                       twinstrike.png
Tyranny                          tyranny.png
UltimateDefend                   ultimatedefend.png
UltimateStrike                   ultimatestrike.png
Undeath                          undeath.png
Unleash                          unleash.png
Unmovable                        unmovable.png
Unrelenting                      unrelenting.png
Untouchable                      untouchable.png
UpMySleeve                       upmysleeve.png
Uppercut                         uppercut.png
Uproar                           uproar.png
Veilpiercer                      veilpiercer.png
Venerate                         venerate.png
Vicious                          vicious.png
Void                             void.png
VoidForm                         voidform.png
Volley                           volley.png
Voltaic                          voltaic.png
WasteAway                        wasteaway.png
WellLaidPlans                    welllaidplans.png
Whirlwind                        whirlwind.png
Whistle                          whistle.png
WhiteNoise                       whitenoise.png
Wish                             wish.png
Wisp                             wisp.png
Wither                           wither.png
Wound                            wound.png
WraithForm                       wraithform.png
Writhe                           writhe.png
WroughtInWar                     wroughtinwar.png
Zap                              zap.png
